Query ID,Query Text,Category,Code Snippet 1,,,,,Code Snippet 2,,,,
,,,Link,Site,Ranking,Readability,Understandability,Link,Site,Ranking,Readability,Understandability
1,how to reverse a string in java?,Readability and Understandability,https://www.javatpoint.com/how-to-reverse-string-in-java,Google,1,"0,78",1,https://stackoverflow.com/questions/12305666/easy-way-to-reverse-string/12305891#12305891,CROKAGE,4,"0,75","0,93"
2,how to add two numbers in java?,Readability,https://stackoverflow.com/questions/3748846/how-to-add-two-numbers-of-any-length-in-java/3748861#3748861,CROKAGE,1,"0,95",1,https://www.javatpoint.com/sum-of-numbers-in-java,Google,1,"0,83",1
3,split a string in java?,Understandability,https://www.geeksforgeeks.org/split-string-java-examples/,Google,1,"0,87","0,93",https://stackoverflow.com/questions/23751618/how-to-split-a-java-string-at-backslash/23751647#23751647,CROKAGE,1,"0,82",1
4,how to sort an array in java?,Readability and Understandability,https://www.geeksforgeeks.org/arrays-sort-in-java-with-examples/,Google,1,"0,94",1,https://stackoverflow.com/questions/8938235/sort-an-array-in-java,CROKAGE,1,"0,57","0,86"
5,byte array convert to file in java,Readability and Understandability,https://stackoverflow.com/questions/13352972/convert-file-to-byte-array-and-vice-versa/13353219#13353219,CROKAGE,2,"0,65","0,86",https://www.geeksforgeeks.org/convert-byte-array-to-file-using-java/,Google,1,"0,93","0,93"
6,calculate a leap year in java,Understandability,https://stackoverflow.com/questions/1021324/java-code-for-calculating-leap-year,Google,2,"0,94","0,73",https://stackoverflow.com/questions/1021324/java-code-for-calculating-leap-year/37571983#37571983,CROKAGE,1,"0,84","0,86"
7,how to add an element to an array in java?,Readability,https://www.geeksforgeeks.org/how-to-add-an-element-to-an-array-in-java/,Google,1,"0,95","0,93",,CROKAGE,10,"0,65","0,93"
8,encrypt a string in java,Readability and Understandability,https://stackoverflow.com/questions/8782450/method-to-return-string/8782544#8782544,CROKAGE,2,"0,46","0,66",https://www.tutorialspoint.com/java_cryptography/java_cryptography_encrypting_data.htm,Google,1,"0,73",1
9,how to copy an array in java,Understandability,https://stackoverflow.com/questions/10593588/java-version-of-c-sharp-array-copyarray-sourcearray-int-sourceindex-array-des/10593628#10593628,CROKAGE,4,"0,64",1,https://www.tutorialspoint.com/Array-Copy-in-Java,Google,1,"0,81","0,86"
10,How to parse a date in java?,Readability,https://stackoverflow.com/questions/999172/how-to-parse-a-date,Google,1,"0,71",1,https://stackoverflow.com/questions/11408116/parsing-java-string-to-date/11408244#11408244,CROKAGE,1,"0,87",1
11,iterate over map in java,Understandability,https://stackoverflow.com/questions/46898/how-do-i-efficiently-iterate-over-each-entry-in-a-java-map/49885402#49885402,Google,1,"0,55","0,93",https://stackoverflow.com/questions/46898/how-do-i-efficiently-iterate-over-each-entry-in-a-java-map/49885402#49885402,CROKAGE,1,"0,43",1
12,how to compare strings in java?,Readability and Understandability,https://www.geeksforgeeks.org/compare-two-strings-in-java/,Google,2,"0,94",1,https://stackoverflow.com/questions/11271554/compare-two-objects-in-java-with-possible-null-values/11271611#11271611,CROKAGE,1,"0,46","0,93"
13,how to remove an element from an array in java?,Readability and Understandability,,CROKAGE,1,"0,85","0,53",https://www.geeksforgeeks.org/remove-an-element-at-specific-index-from-an-array-in-java/,Google,1,"0,89","0,86"
14,how to read a file in java?,Readability and Understandability,https://www.geeksforgeeks.org/different-ways-reading-text-file-java/,Google,1,"0,83","0,93",https://stackoverflow.com/questions/2788080/java-how-to-read-a-text-file/21519405#21519405,CROKAGE,1,"0,54","0,4"
15,Convert between a file path and url in java?,Understandability,https://makeinjava.com/convert-local-file-path-url-uri-java-example/,Google,2,"0,73",1,,CROKAGE,10,"0,79","0,8"
16,how to sort a list in java?,Readability,https://stackoverflow.com/questions/10703769/sorting-the-list/10703889#10703889,CROKAGE,5,"0,57",1,https://www.javatpoint.com/how-to-sort-a-list-in-java,Google,1,"0,45",1
17,How to clean an array in java?,Readability and Understandability,https://stackoverflow.com/questions/4208655/empty-an-array-in-java-processing,Google,1,"0,64","0,73",https://stackoverflow.com/questions/11229628/is-there-a-clean-way-to-declare-a-java-array-with-the-same-value-for-each-elemen/11229661#11229661,CROKAGE,1,"0,93",1
18,how to start a thread in java?,Understandability,https://stackoverflow.com/questions/1215548/is-it-legal-to-call-the-start-method-twice-on-the-same-thread/35768879#35768879,CROKAGE,10,"0,87",1,http://tutorials.jenkov.com/java-concurrency/creating-and-starting-threads.html,Google,1,"0,92","0,93"
19,initialize an array in java?,Readability,https://stackoverflow.com/questions/1938101/how-to-initialize-an-array-in-java,Google,1,"0,98",1,https://stackoverflow.com/questions/1200621/how-do-i-declare-and-initialize-an-array-in-java/49179953#49179953,CROKAGE,1,"0,64",1
20,convert integer to string in java?,Readability,https://www.javatpoint.com/java-int-to-string,Google,1,"0,88",1,https://stackoverflow.com/questions/3802684/integer-to-string-conversion-methods/3802955#3802955,CROKAGE,4,"0,77",1
21,how to concatenate a string in java?,Readability,https://stackoverflow.com/questions/80476/how-can-i-concatenate-two-arrays-in-java/96892#96892,CROKAGE,1,"0,41",1,https://www.javatpoint.com/string-concatenation-in-java,Google,1,"0,92",1
22,Iterate over an array in java?,Readability,https://www.geeksforgeeks.org/iterating-arrays-java/,Google,1,"0,92","0,93",,CROKAGE,10,"0,5","0,93"
23,How to create a thread in java?,Understandability,https://www.tutorialspoint.com/how-to-create-a-thread-in-java,Google,1,"0,8","0,86",https://stackoverflow.com/questions/21500772/is-any-other-possibility-to-create-threads-tasks-in-java-which-not-extend-threa/41490516#41490516,CROKAGE,2,"0,9","0,66"
24,concatenate arrays in java?,Readability,https://stackoverflow.com/questions/80476/how-can-i-concatenate-two-arrays-in-java/96892#96892,CROKAGE,1,"0,41",1,https://www.baeldung.com/java-concatenate-arrays,Google,1,"0,26",1
25,iterate filter stream in java,Readability and Understandability,https://howtodoinjava.com/java8/java-stream-filter-example/,Google,1,"0,53",1,https://stackoverflow.com/questions/25167000/infinite-stream-and-filter/25167043#25167043,CROKAGE,1,"0,33","0,93"
26,how to find odd numbers in java?,Understandability,https://www.javatpoint.com/java-program-to-print-odd-and-even-numbers-from-an-array,Google,1,"0,77","0,8",https://stackoverflow.com/questions/34506248/java-get-even-or-odd-number/34506347#34506347,CROKAGE,2,"0,79","0,73"
27,How to generate a random number in java?,Readability,https://www.educative.io/edpresso/how-to-generate-random-numbers-in-java,Google,1,"0,64",1,https://stackoverflow.com/questions/32994243/generate-a-random-number-between-a-desired-range-using-java/32994454#32994454,CROKAGE,1,"0,82",1
28,How to make an http request in java?,Understandability,https://stackoverflow.com/questions/1359689/how-to-send-http-request-in-java/14016308#14016308,CROKAGE,1,"0,56","0,93",https://www.journaldev.com/7148/java-httpurlconnection-example-java-http-request-get-post,Google,1,"0,61","0,46"
29,How to handle exceptions in java?,Readability and Understandability,https://stackoverflow.com/questions/11211286/is-it-possible-in-java-to-catch-two-exceptions-in-the-same-catch-block/11213494#11213494,CROKAGE,4,"0,95","0,66",https://rollbar.com/guides/java/how-to-handle-exceptions-in-java/,Google,1,"0,97","0,93"
30,Read csv file in java,Understandability,https://mkyong.com/java/how-to-read-and-parse-csv-file-in-java/,Google,1,"0,59",1,https://stackoverflow.com/questions/28602769/read-parse-and-then-write-a-csv-in-java/28603274#28603274,CROKAGE,2,"0,68","0,73"
